pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
9,2008,D.J. Augustin,University of Texas at Austin,/players/a/augusdj01.html,73,2662,396,894,119,296,323,400,NULL,211,452,100,3,105,NULL,1234,.443,.402,.808,36.5,16.9,2.9,6.2
10,2008,Brook Lopez,Stanford University,/players/l/lopezbr01.html,53,1485,324,675,3,21,198,259,NULL,377,57,27,101,58,NULL,849,.480,.143,.764,28.0,16.0,7.1,1.1
11,2008,Jerryd Bayless,University of Arizona,/players/b/bayleje01.html,30,1072,173,378,59,145,187,223,NULL,82,121,29,3,89,NULL,592,.458,.407,.839,35.7,19.7,2.7,4.0
12,2008,Jason Thompson,Rider University,/players/t/thompja02.html,122,3922,759,1443,30,103,492,738,NULL,1171,246,104,235,99,NULL,2040,.526,.291,.667,32.1,16.7,9.6,2.0
13,2008,Brandon Rush,University of Kansas,/players/r/rushbr01.html,109,3408,536,1193,205,471,200,273,NULL,602,222,76,89,69,NULL,1477,.449,.435,.733,31.3,13.6,5.5,2.0
14,2008,Anthony Randolph,Louisiana State University,/players/r/randoan01.html,31,1016,183,394,2,19,115,166,NULL,263,38,35,70,92,NULL,483,.464,.105,.693,32.8,15.6,8.5,1.2
15,2008,Robin Lopez,Stanford University,/players/l/lopezro01.html,67,1626,236,462,1,2,128,209,NULL,376,51,23,156,63,NULL,601,.511,.500,.612,24.3,9.0,5.6,0.8
16,2008,Marreese Speights,University of Florida,/players/s/speigma01.html,69,1063,273,431,0,0,110,160,NULL,376,36,23,64,62,NULL,656,.633,NULL,.688,15.4,9.5,5.4,0.5
17,2008,Roy Hibbert,Georgetown University,/players/h/hibbero01.html,136,3169,573,950,3,3,327,481,NULL,808,176,55,259,57,NULL,1476,.603,1.000,.680,23.3,10.9,5.9,1.3
18,2008,JaVale McGee,University of Nevada Reno,/players/m/mcgeeja01.html,66,1232,234,432,16,45,90,175,NULL,314,23,32,122,80,NULL,574,.542,.356,.514,18.7,8.7,4.8,0.3
19,2008,J.J. Hickson,North Carolina State University,/players/h/hicksjj01.html,31,890,163,276,0,1,132,195,NULL,262,31,22,47,83,NULL,458,.591,.000,.677,28.7,14.8,8.5,1.0
21,2008,Ryan Anderson,University of California,/players/a/anderry01.html,66,2178,419,866,122,308,276,328,NULL,597,63,34,36,74,NULL,1236,.484,.396,.841,33.0,18.7,9.0,1.0
22,2008,Courtney Lee,Western Kentucky University,/players/l/leeco01.html,127,3957,802,1729,245,611,389,476,NULL,663,281,242,78,84,NULL,2238,.464,.401,.817,31.2,17.6,5.2,2.2
23,2008,Kosta Koufos,Ohio State University,/players/k/koufoko01.html,37,1003,222,437,22,63,68,100,NULL,247,19,16,67,55,NULL,534,.508,.349,.680,27.1,14.4,6.7,0.5
26,2008,George Hill,Indiana University-Purdue University Indianapolis,/players/h/hillge01.html,95,3164,536,1013,90,223,457,582,NULL,547,317,155,29,94,NULL,1619,.529,.404,.785,33.3,17.0,5.8,3.3
27,2008,Darrell Arthur,University of Kansas,/players/a/arthuda01.html,78,1710,369,682,2,17,144,213,NULL,427,50,53,109,75,NULL,884,.541,.118,.676,21.9,11.3,5.5,0.6
28,2008,Donte Greene,Syracuse University,/players/g/greendo01.html,35,1253,218,521,90,261,94,133,NULL,251,71,45,57,91,NULL,620,.418,.345,.707,35.8,17.7,7.2,2.0
29,2008,D.J. White,Indiana University,/players/w/whitedj01.html,99,3025,548,975,1,3,350,507,NULL,748,93,68,198,63,NULL,1447,.562,.333,.690,30.6,14.6,7.6,0.9
30,2008,J.R. Giddens,University of New Mexico,/players/g/giddejr01.html,122,3533,618,1333,203,580,186,309,NULL,692,232,118,94,73,NULL,1625,.464,.350,.602,29.0,13.3,5.7,1.9
32,2008,Walter Sharpe,University of Alabama at Birmingham,/players/s/sharpwa01.html,40,612,111,208,0,3,56,112,NULL,153,34,22,37,34,NULL,278,.534,.000,.500,15.3,7.0,3.8,0.9
33,2008,Joey Dorsey,University of Memphis,/players/d/dorsejo01.html,149,3231,400,651,0,0,197,469,NULL,1209,81,160,264,41,NULL,997,.614,NULL,.420,21.7,6.7,8.1,0.5
34,2008,Mario Chalmers,University of Kansas,/players/c/chalmma01.html,110,3137,444,914,180,430,273,356,NULL,309,420,283,44,75,NULL,1341,.486,.419,.767,28.5,12.2,2.8,3.8
35,2008,DeAndre Jordan,Texas A&M University,/players/j/jordade01.html,35,703,113,183,0,0,52,119,NULL,210,15,7,44,57,NULL,278,.617,NULL,.437,20.1,7.9,6.0,0.4
37,2008,Luc Mbah a Moute,University of California Los Angeles,/players/m/mbahalu01.html,107,3155,367,730,20,93,177,265,NULL,775,168,137,66,62,NULL,931,.503,.215,.668,29.5,8.7,7.2,1.6
38,2008,Kyle Weaver,Washington State University,/players/w/weaveky01.html,121,3602,402,866,43,155,315,440,NULL,570,465,188,93,97,NULL,1162,.464,.277,.716,29.8,9.6,4.7,3.8
39,2008,Sonny Weems,University of Arkansas,/players/w/weemsso01.html,69,2153,358,757,93,254,112,146,NULL,319,162,90,23,96,NULL,921,.473,.366,.767,31.2,13.3,4.6,2.3
40,2008,Chris Douglas-Roberts,University of Memphis,/players/d/douglch01.html,109,2845,555,1028,73,196,362,499,NULL,398,183,114,49,83,NULL,1545,.540,.372,.725,26.1,14.2,3.7,1.7
42,2008,Sean Singletary,University of Virginia,/players/s/singlse01.html,123,4034,642,1583,222,614,573,677,NULL,490,587,200,7,128,NULL,2079,.406,.362,.846,32.8,16.9,4.0,4.8
43,2008,Patrick Ewing,Georgetown University,/players/e/ewingpa02.html,127,NULL,202,390,32,89,115,197,NULL,430,129,81,75,54,NULL,551,.518,.360,.584,NULL,4.3,3.4,1.0
47,2008,Bill Walker,Kansas State University,/players/w/walkebi01.html,37,985,207,454,35,123,117,161,NULL,223,64,31,17,81,NULL,566,.456,.285,.727,26.6,15.3,6.0,1.7
48,2008,Malik Hairston,University of Oregon,/players/h/hairsma01.html,117,3655,612,1214,145,367,275,428,NULL,598,244,67,71,55,NULL,1644,.504,.395,.643,31.2,14.1,5.1,2.1
50,2008,DeVon Hardin,University of California,/players/h/hardide01.html,101,NULL,278,538,0,0,193,317,NULL,649,45,45,132,43,NULL,749,.517,NULL,.609,NULL,7.4,6.4,0.4
52,2008,Darnell Jackson,University of Kansas,/players/j/jacksda01.html,125,2073,311,536,2,6,224,327,NULL,612,67,64,46,51,NULL,848,.580,.333,.685,16.6,6.8,4.9,0.5
54,2008,Maarty Leunen,University of Oregon,/players/l/leunema01.html,127,NULL,418,831,131,330,292,377,NULL,903,228,121,50,50,NULL,1259,.503,.397,.775,NULL,9.9,7.1,1.8
55,2008,Mike Taylor,Iowa State University,/players/t/taylomi01.html,31,1086,165,439,77,214,88,129,NULL,126,140,35,3,NULL,,495,.376,.360,.682,35.0,16.0,4.1,4.5
56,2008,Sasha Kaun,University of Kansas,/players/k/kaunsa01.html,135,NULL,331,583,0,0,168,328,NULL,526,44,50,150,32,NULL,830,.568,NULL,.512,NULL,6.1,3.9,0.3
58,2008,Joe Crawford,University of Kentucky,/players/c/crawfjo01.html,127,3213,512,1169,186,532,228,325,NULL,426,191,61,26,83,NULL,1438,.438,.350,.702,25.3,11.3,3.4,1.5
1,2009,Blake Griffin,University of Oklahoma,/players/g/griffbl01.html,68,NULL,484,783,3,10,307,521,NULL,805,141,72,69,192,NULL,1278,.618,.300,.589,NULL,18.8,11.8,2.1
2,2009,Hasheem Thabeet,University of Connecticut,/players/t/thabeha01.html,100,NULL,359,588,0,0,310,496,NULL,847,41,37,417,126,NULL,1028,.611,NULL,.625,NULL,10.3,8.5,0.4
3,2009,James Harden,Arizona State University,/players/h/hardeja01.html,69,NULL,417,824,102,271,373,494,NULL,374,258,132,30,207,NULL,1309,.506,.376,.755,NULL,19.0,5.4,3.7
4,2009,Tyreke Evans,University of Memphis,/players/e/evansty01.html,37,NULL,230,505,34,124,138,194,NULL,198,143,77,29,133,NULL,632,.455,.274,.711,NULL,17.1,5.4,3.9
6,2009,Jonny Flynn,Syracuse University,/players/f/flynnjo01.html,73,NULL,410,892,101,303,290,371,NULL,198,439,107,12,224,NULL,1211,.460,.333,.782,NULL,16.6,2.7,6.0
7,2009,Stephen Curry,Davidson College,/players/c/curryst01.html,104,NULL,871,1866,414,1004,479,547,NULL,473,388,221,28,219,NULL,2635,.467,.412,.876,NULL,25.3,4.5,3.7
8,2009,Jordan Hill,University of Arizona,/players/h/hilljo01.html,97,NULL,494,855,0,0,220,346,NULL,763,80,53,140,169,NULL,1208,.578,NULL,.636,NULL,12.5,7.9,0.8
9,2009,DeMar DeRozan,University of Southern California,/players/d/derozde01.html,35,NULL,192,367,6,36,95,147,NULL,201,51,31,13,73,NULL,485,.523,.167,.646,NULL,13.9,5.7,1.5
11,2009,Terrence Williams,University of Louisville,/players/w/willite01.html,140,NULL,577,1444,195,609,216,367,NULL,970,546,210,90,191,NULL,1565,.400,.320,.589,NULL,11.2,6.9,3.9
12,2009,Gerald Henderson,Duke University,/players/h/hendege02.html,103,NULL,456,995,69,210,281,398,NULL,435,182,101,69,148,NULL,1262,.458,.329,.706,NULL,12.3,4.2,1.8
