pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
12,2015,Trey Lyles,University of Kentucky,/players/l/lylestr01.html,36,828,117,240,4,29,75,102,65,188,38,19,16,41,57,313,.488,.138,.735,23.0,8.7,5.2,1.1
13,2015,Devin Booker,University of Kentucky,/players/b/bookede01.html,38,816,135,287,58,141,53,64,17,76,42,17,2,37,58,381,.470,.411,.828,21.5,10.0,2.0,1.1
14,2015,Cameron Payne,Murray State University,/players/p/payneca01.html,69,2238,435,1007,156,434,253,324,31,252,394,125,37,197,168,1279,.432,.359,.781,32.4,18.5,3.7,5.7
15,2015,Kelly Oubre,University of Kansas,/players/o/oubreke01.html,36,756,110,248,34,95,79,110,41,179,28,41,13,43,71,333,.444,.358,.718,21.0,9.3,5.0,0.8
16,2015,Terry Rozier,University of Louisville,/players/r/roziete01.html,73,1959,307,753,84,254,176,228,71,314,175,110,8,101,116,874,.408,.331,.772,26.8,12.0,4.3,2.4
17,2015,Rashad Vaughn,University of Nevada Las Vegas,/players/v/vaughra01.html,23,742,144,328,54,141,68,98,14,111,36,18,8,50,54,410,.439,.383,.694,32.3,17.8,4.8,1.6
18,2015,Sam Dekker,University of Wisconsin,/players/d/dekkesa01.html,113,3153,499,1012,142,408,223,321,185,569,148,73,54,114,137,1363,.493,.348,.695,27.9,12.1,5.0,1.3
19,2015,Jerian Grant,University of Notre Dame,/players/g/grantje02.html,120,4337,556,1276,179,519,448,567,48,344,690,175,37,266,219,1739,.436,.345,.790,36.1,14.5,2.9,5.8
20,2015,Delon Wright,University of Utah,/players/w/wrighde01.html,68,2367,339,634,38,127,306,376,76,397,352,155,77,152,110,1022,.535,.299,.814,34.8,15.0,5.8,5.2
21,2015,Justin Anderson,University of Virginia,/players/a/anderju01.html,98,2364,288,669,97,272,200,266,75,341,180,60,84,125,137,873,.430,.357,.752,24.1,8.9,3.5,1.8
22,2015,Bobby Portis,University of Arkansas,/players/p/portibo01.html,70,1994,411,782,23,63,202,274,219,551,92,74,104,97,137,1047,.526,.365,.737,28.5,15.0,7.9,1.3
23,2015,Rondae Hollis-Jefferson,University of Arizona,/players/h/holliro01.html,76,2050,259,522,8,39,248,356,160,475,114,72,72,103,186,774,.496,.205,.697,27.0,10.2,6.3,1.5
24,2015,Tyus Jones,Duke University,/players/j/jonesty01.html,39,1322,135,324,47,124,144,162,19,137,217,59,3,76,46,461,.417,.379,.889,33.9,11.8,3.5,5.6
25,2015,Jarell Martin,Louisiana State University,/players/m/martija01.html,65,1996,323,654,41,133,202,293,154,451,88,65,45,144,170,889,.494,.308,.689,30.7,13.7,6.9,1.4
