Player,Season,School,Conf,G,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
"Josh Howard","1999-00","Wake Forest","ACC","36","896","5.7","12.4","0.460","5.2","10.5","0.492","0.5","1.9","0.286","2.8","4.8","0.583","7.5","2.9","2.0","1.5","2.7","4.6","14.8","10.3"
"Josh Howard","2000-01","Wake Forest","ACC","29","790","7.2","14.8","0.490","6.3","12.5","0.508","0.9","2.3","0.391","4.5","6.6","0.685","8.7","2.6","2.9","1.6","3.3","4.6","19.9","10.3"
"Josh Howard","2001-02","Wake Forest","ACC","31","848","8.0","15.9","0.504","6.8","12.2","0.558","1.2","3.7","0.329","3.1","4.7","0.657","11.3","3.0","2.3","1.4","3.2","4.2","20.3","10.3"
"Josh Howard","2002-03","Wake Forest","ACC","31","1002","8.1","17.1","0.477","6.0","11.4","0.528","2.1","5.7","0.373","5.8","6.9","0.833","10.3","2.4","2.6","1.9","3.3","3.6","24.2","10.3"
"Mo Williams","2001-02","Alabama","SEC","35","1121","4.4","11.7","0.376","3.2","7.2","0.448","1.2","4.5","0.262","3.0","3.5","0.857","4.9","5.7","2.1","0.1","3.7","3.2","13.0","8.9"
"Mo Williams","2002-03","Alabama","SEC","29","1038","6.2","14.3","0.431","4.0","7.4","0.539","2.2","6.9","0.317","3.8","4.5","0.838","4.4","4.3","1.4","0.2","3.3","2.4","18.3","8.9"
"Kyle Korver","1999-00","Creighton","MVC","33","601","6.5","13.6","0.475","2.3","3.9","0.576","4.2","9.7","0.434","2.3","2.5","0.895","6.7","2.1","1.4","0.3","2.9","3.8","19.4","20.1"
"Kyle Korver","2000-01","Creighton","MVC","32","941","6.3","13.4","0.470","2.0","4.0","0.511","4.3","9.4","0.452","3.1","3.5","0.867","7.9","2.7","2.4","0.6","2.4","3.5","19.9","20.1"
"Kyle Korver","2001-02","Creighton","MVC","29","916","5.7","12.0","0.478","2.3","3.9","0.578","3.4","8.0","0.429","4.2","4.8","0.890","7.0","4.1","2.0","0.7","2.8","3.0","19.1","20.1"
"Kyle Korver","2002-03","Creighton","MVC","34","1082","6.8","14.5","0.468","2.0","4.5","0.443","4.8","9.9","0.480","4.0","4.4","0.908","8.0","3.8","1.8","0.9","2.5","3.3","22.3","20.1"
"Emeka Okafor","2001-02","UConn","Big East","34","1021","4.1","7.0","0.590","4.1","7.0","0.590","0.0","0.0",NULL,"2.2","3.6","0.620","12.0","1.1","1.0","5.4",NULL,NULL,"10.5","7.5"
"Emeka Okafor","2002-03","UConn","Big East","33","1087","8.1","14.0","0.580","8.1","14.0","0.580","0.0","0.0",NULL,"3.0","5.0","0.599","13.6","0.7","1.1","5.7",NULL,NULL,"19.3","7.5"
"Emeka Okafor","2003-04","UConn","Big East","36","1166","9.0","15.0","0.599","9.0","15.0","0.599","0.0","0.0",NULL,"3.9","7.5","0.518","14.2","1.2","1.2","5.0",NULL,NULL,"21.8","7.5"
"Ben Gordon","2001-02","UConn","Big East","34","844","6.6","14.9","0.444","3.7","7.8","0.473","2.9","7.1","0.413","4.0","5.5","0.726","4.4","5.0","1.6","0.3",NULL,NULL,"20.2","4.7"
"Ben Gordon","2002-03","UConn","Big East","33","1101","7.7","17.3","0.443","4.8","10.4","0.460","2.9","6.9","0.419","5.2","6.4","0.808","5.0","5.7","1.4","0.3",NULL,NULL,"23.4","4.7"
"Ben Gordon","2003-04","UConn","Big East","39","1346","7.1","16.4","0.434","4.0","9.2","0.434","3.1","7.1","0.433","4.2","5.1","0.829","5.5","5.2","1.6","0.2",NULL,NULL,"21.5","4.7"
"Devin Harris","2001-02","Wisconsin","Big Ten","32","1094","4.3","10.3","0.413","2.1","4.5","0.475","2.2","5.9","0.366","3.7","4.8","0.777","3.8","2.0","1.6","0.7",NULL,NULL,"14.4","13.7"
"Devin Harris","2002-03","Wisconsin","Big Ten","32","1100","4.8","10.4","0.463","2.9","5.4","0.534","1.9","5.0","0.387","3.3","4.3","0.756","5.3","3.6","2.4","0.7",NULL,NULL,"14.8","13.7"
"Devin Harris","2003-04","Wisconsin","Big Ten","32","1162","6.5","14.2","0.459","3.9","7.3","0.540","2.6","6.9","0.373","5.9","7.4","0.792","4.8","4.9","1.9","0.1",NULL,NULL,"21.5","13.7"
"Luol Deng","2003-04","Duke","ACC","37","1149","7.3","15.4","0.476","5.9","11.5","0.515","1.4","3.9","0.360","3.4","4.8","0.710","8.9","2.4","1.7","1.4",NULL,NULL,"19.4","22.5"
"Andre Iguodala","2002-03","Arizona","Pac-10","32","614","4.5","11.8","0.381","3.9","8.9","0.438","0.6","2.9","0.205","3.8","5.7","0.670","10.2","4.3","3.1","1.2",NULL,NULL,"13.4","43.0"
"Andre Iguodala","2003-04","Arizona","Pac-10","30","962","5.7","12.6","0.450","4.7","9.5","0.493","1.0","3.0","0.315","3.9","4.9","0.788","10.5","6.1","2.0","0.5",NULL,NULL,"16.1","43.0"
"Jameer Nelson","2000-01","St. Joseph's","A-10","33","1114","4.7","10.2","0.461","3.2","6.2","0.517","1.5","3.9","0.373","3.9","4.8","0.820","4.8","7.6","2.0","0.1",NULL,NULL,"14.8","13.2"
"Jameer Nelson","2001-02","St. Joseph's","A-10","30","1064","5.4","12.4","0.438","3.5","7.0","0.497","1.9","5.3","0.359","3.5","4.6","0.762","5.4","7.1","1.5","0.0",NULL,NULL,"16.2","13.2"
"Jameer Nelson","2002-03","St. Joseph's","A-10","30","1048","7.4","16.9","0.437","5.0","9.7","0.510","2.4","7.2","0.339","5.3","6.9","0.772","5.9","5.4","2.5","0.2",NULL,NULL,"22.6","13.2"
"Jameer Nelson","2003-04","St. Joseph's","A-10","32","1085","8.6","18.2","0.475","5.9","11.3","0.526","2.7","6.9","0.390","4.4","5.5","0.792","5.5","6.3","3.3","0.0",NULL,NULL,"24.3","13.2"
"Andrew Bogut","2003-04","Utah","MWC","33","1002","6.7","11.6","0.577","6.5","11.2","0.586","0.2","0.4","0.364","2.8","4.4","0.640","13.0","2.9","0.6","1.8",NULL,NULL,"16.4","21.4"
"Andrew Bogut","2004-05","Utah","MWC","35","1224","9.2","14.8","0.620","8.9","14.0","0.636","0.3","0.8","0.360","4.7","6.8","0.692","14.0","2.7","1.1","2.1",NULL,NULL,"23.4","21.4"
"Marvin Williams","2004-05","UNC","ACC","36","800","6.3","12.4","0.506","5.3","10.2","0.522","1.0","2.2","0.432","6.9","8.2","0.847","11.8","1.3","2.0","0.9",NULL,NULL,"20.4","9.9"
"Deron Williams","2002-03","Illinois","Big Ten","32","868","3.5","8.1","0.426","2.2","4.5","0.485","1.3","3.6","0.354","1.1","2.1","0.533","4.4","6.7","2.1","0.2",NULL,NULL,"9.3","23.8"
"Deron Williams","2003-04","Illinois","Big Ten","30","1017","5.8","14.2","0.408","3.1","7.5","0.421","2.6","6.7","0.394","2.3","2.9","0.787","3.8","7.3","1.2","0.4",NULL,NULL,"16.5","23.8"
"Deron Williams","2004-05","Illinois","Big Ten","39","1315","5.4","12.5","0.433","3.3","6.8","0.491","2.1","5.7","0.364","2.0","2.9","0.677","4.3","8.0","1.2","0.2",NULL,NULL,"14.9","23.8"
"Chris Paul","2003-04","Wake Forest","ACC","31","1041","5.2","10.5","0.496","3.7","7.1","0.511","1.5","3.3","0.465","5.8","6.8","0.843","3.9","7.0","3.2","0.5",NULL,NULL,"17.7","71.7"
"Chris Paul","2004-05","Wake Forest","ACC","32","1069","5.4","11.9","0.451","3.6","8.2","0.441","1.7","3.6","0.474","5.8","7.0","0.834","5.4","7.9","2.8","0.0",NULL,NULL,"18.3","71.7"
"Ray Felton","2002-03","UNC","ACC","35","1240","4.9","12.2","0.398","2.6","6.0","0.441","2.2","6.2","0.358","2.5","3.7","0.693","4.6","7.6","1.8","0.3",NULL,NULL,"14.5","10.4"
"Ray Felton","2003-04","UNC","ACC","30","1039","4.4","10.4","0.420","3.0","6.0","0.497","1.3","4.3","0.313","3.3","4.0","0.810","4.6","8.2","2.5","0.3",NULL,NULL,"13.3","10.4"
"Ray Felton","2004-05","UNC","ACC","36","1142","5.3","11.6","0.455","2.8","6.0","0.468","2.5","5.6","0.440","3.3","4.7","0.701","5.4","8.7","2.5","0.4",NULL,NULL,"16.3","10.4"
"Danny Granger","2001-02","Bradley","MVC","29","712","6.2","14.0","0.446","6.1","13.0","0.466","0.2","1.0","0.176","5.5","7.0","0.790","11.6","1.2","2.1","3.9",NULL,NULL,"18.1","16.1"
"Danny Granger","2002-03","Bradley","MVC","14","380","10.4","20.1","0.518","9.8","18.0","0.544","0.6","2.1","0.300","6.8","10.0","0.684","11.7","1.7","2.0","2.0",NULL,NULL,"28.3","16.1"
"Danny Granger","2003-04","New Mexico","MWC","22","703","7.7","15.8","0.491","6.4","11.7","0.546","1.4","4.1","0.333","7.6","10.0","0.760","11.2","2.6","1.7","1.8",NULL,NULL,"24.4","16.1"
"Danny Granger","2004-05","New Mexico","MWC","30","900","8.1","15.5","0.524","6.1","10.9","0.563","2.0","4.6","0.433","6.8","9.1","0.755","11.8","3.2","2.8","2.7",NULL,NULL,"25.1","16.1"
"David Lee","2001-02","Florida","SEC","31","557","6.0","10.4","0.579","6.0","10.4","0.579","0.0","0.0",NULL,"3.6","6.5","0.549","10.4","2.3","1.4","1.5",NULL,NULL,"15.7","22.3"
